Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ECEN 21L-6 - Logic Design Lab,Electrical and Computer Engineering,21L,6,Open,0/18,Hoeseok Yang,1,T | 5:15 PM - 8:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-7 - Logic Design Lab,Electrical and Computer Engineering,21L,7,Open,0/18,Hoeseok Yang,1,Th | 5:15 PM - 8:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50-1 - Electric Circuits I (-),Electrical and Computer Engineering,50,1,Open,0/36,Adham Naji,4,T Th | 10:20 AM - 12:00 PM,Rm 218 Kenna Hall,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50-2 - Electric Circuits I (-),Electrical and Computer Engineering,50,2,Open,0/36,Mahmudur Rahman | Mahmud Rahman,4,M W F | 1:00 PM - 2:05 PM,Rm 122 Heafey Hall,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50-3 - Electric Circuits I (-),Electrical and Computer Engineering,50,3,Open,0/36,Anoosheh Heidarzadeh,4,T Th | 12:10 PM - 1:50 PM,RM 3116 SCDI,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50L-1 - Electric Circuits I Lab,Electrical and Computer Engineering,50L,1,Open,0/18,Cary Yang,1,M | 2:15 PM - 5:00 PM,RM 4002 SCDI,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50L-2 - Electric Circuits I Lab,Electrical and Computer Engineering,50L,2,Open,0/18,Cary Yang,1,T | 2:15 PM - 5:00 PM,RM 4002 SCDI,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50L-3 - Electric Circuits I Lab,Electrical and Computer Engineering,50L,3,Open,0/18,Cary Yang,1,W | 2:15 PM - 5:00 PM,RM 4002 SCDI,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50L-4 - Electric Circuits I Lab,Electrical and Computer Engineering,50L,4,Open,0/18,Cary Yang,1,Th | 2:15 PM - 5:00 PM,RM 4002 SCDI,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 50L-5 - Electric Circuits I Lab,Electrical and Computer Engineering,50L,5,Open,0/18,Cary Yang,1,F | 2:15 PM - 5:00 PM,RM 4002 SCDI,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
